ghi,air_temp,period_end,period
0,14,2025-07-29 02:15:00+00:00,PT15M
0,14,2025-07-29 02:30:00+00:00,PT15M
0,14,2025-07-29 02:45:00+00:00,PT15M
0,14,2025-07-29 03:00:00+00:00,PT15M
0,14,2025-07-29 03:15:00+00:00,PT15M
4,14,2025-07-29 03:30:00+00:00,PT15M
18,14,2025-07-29 03:45:00+00:00,PT15M
38,14,2025-07-29 04:00:00+00:00,PT15M
64,14,2025-07-29 04:15:00+00:00,PT15M
96,14,2025-07-29 04:30:00+00:00,PT15M
128,14,2025-07-29 04:45:00+00:00,PT15M
162,15,2025-07-29 05:00:00+00:00,PT15M
197,15,2025-07-29 05:15:00+00:00,PT15M
233,15,2025-07-29 05:30:00+00:00,PT15M
268,16,2025-07-29 05:45:00+00:00,PT15M
303,16,2025-07-29 06:00:00+00:00,PT15M
336,16,2025-07-29 06:15:00+00:00,PT15M
367,17,2025-07-29 06:30:00+00:00,PT15M
395,17,2025-07-29 06:45:00+00:00,PT15M
422,18,2025-07-29 07:00:00+00:00,PT15M
444,18,2025-07-29 07:15:00+00:00,PT15M
458,18,2025-07-29 07:30:00+00:00,PT15M
468,19,2025-07-29 07:45:00+00:00,PT15M
475,19,2025-07-29 08:00:00+00:00,PT15M
486,19,2025-07-29 08:15:00+00:00,PT15M
504,20,2025-07-29 08:30:00+00:00,PT15M
521,20,2025-07-29 08:45:00+00:00,PT15M
535,20,2025-07-29 09:00:00+00:00,PT15M
547,20,2025-07-29 09:15:00+00:00,PT15M
556,20,2025-07-29 09:30:00+00:00,PT15M
563,20,2025-07-29 09:45:00+00:00,PT15M
567,20,2025-07-29 10:00:00+00:00,PT15M
570,20,2025-07-29 10:15:00+00:00,PT15M
572,20,2025-07-29 10:30:00+00:00,PT15M
572,20,2025-07-29 10:45:00+00:00,PT15M
569,20,2025-07-29 11:00:00+00:00,PT15M
567,20,2025-07-29 11:15:00+00:00,PT15M
565,20,2025-07-29 11:30:00+00:00,PT15M
560,20,2025-07-29 11:45:00+00:00,PT15M
554,20,2025-07-29 12:00:00+00:00,PT15M
547,20,2025-07-29 12:15:00+00:00,PT15M
538,20,2025-07-29 12:30:00+00:00,PT15M
528,20,2025-07-29 12:45:00+00:00,PT15M
516,20,2025-07-29 13:00:00+00:00,PT15M
506,20,2025-07-29 13:15:00+00:00,PT15M
497,20,2025-07-29 13:30:00+00:00,PT15M
487,20,2025-07-29 13:45:00+00:00,PT15M
475,20,2025-07-29 14:00:00+00:00,PT15M
461,20,2025-07-29 14:15:00+00:00,PT15M
444,21,2025-07-29 14:30:00+00:00,PT15M
426,21,2025-07-29 14:45:00+00:00,PT15M
404,21,2025-07-29 15:00:00+00:00,PT15M
376,21,2025-07-29 15:15:00+00:00,PT15M
342,21,2025-07-29 15:30:00+00:00,PT15M
309,21,2025-07-29 15:45:00+00:00,PT15M
275,21,2025-07-29 16:00:00+00:00,PT15M
242,21,2025-07-29 16:15:00+00:00,PT15M
210,20,2025-07-29 16:30:00+00:00,PT15M
179,20,2025-07-29 16:45:00+00:00,PT15M
149,20,2025-07-29 17:00:00+00:00,PT15M
119,20,2025-07-29 17:15:00+00:00,PT15M
92,19,2025-07-29 17:30:00+00:00,PT15M
67,19,2025-07-29 17:45:00+00:00,PT15M
46,19,2025-07-29 18:00:00+00:00,PT15M
28,18,2025-07-29 18:15:00+00:00,PT15M
13,18,2025-07-29 18:30:00+00:00,PT15M
2,18,2025-07-29 18:45:00+00:00,PT15M
0,17,2025-07-29 19:00:00+00:00,PT15M
0,17,2025-07-29 19:15:00+00:00,PT15M
0,17,2025-07-29 19:30:00+00:00,PT15M
0,16,2025-07-29 19:45:00+00:00,PT15M
0,16,2025-07-29 20:00:00+00:00,PT15M
0,16,2025-07-29 20:15:00+00:00,PT15M
0,16,2025-07-29 20:30:00+00:00,PT15M
0,15,2025-07-29 20:45:00+00:00,PT15M
0,15,2025-07-29 21:00:00+00:00,PT15M
0,15,2025-07-29 21:15:00+00:00,PT15M
0,15,2025-07-29 21:30:00+00:00,PT15M
0,15,2025-07-29 21:45:00+00:00,PT15M
0,15,2025-07-29 22:00:00+00:00,PT15M
0,15,2025-07-29 22:15:00+00:00,PT15M
0,14,2025-07-29 22:30:00+00:00,PT15M
0,14,2025-07-29 22:45:00+00:00,PT15M
0,14,2025-07-29 23:00:00+00:00,PT15M
0,14,2025-07-29 23:15:00+00:00,PT15M
0,14,2025-07-29 23:30:00+00:00,PT15M
0,14,2025-07-29 23:45:00+00:00,PT15M
0,14,2025-07-30 00:00:00+00:00,PT15M
0,14,2025-07-30 00:15:00+00:00,PT15M
0,14,2025-07-30 00:30:00+00:00,PT15M
0,14,2025-07-30 00:45:00+00:00,PT15M
0,13,2025-07-30 01:00:00+00:00,PT15M
0,13,2025-07-30 01:15:00+00:00,PT15M
0,13,2025-07-30 01:30:00+00:00,PT15M
0,13,2025-07-30 01:45:00+00:00,PT15M
0,13,2025-07-30 02:00:00+00:00,PT15M
0,13,2025-07-30 02:15:00+00:00,PT15M
0,13,2025-07-30 02:30:00+00:00,PT15M
0,13,2025-07-30 02:45:00+00:00,PT15M
0,13,2025-07-30 03:00:00+00:00,PT15M
0,13,2025-07-30 03:15:00+00:00,PT15M
4,14,2025-07-30 03:30:00+00:00,PT15M
22,14,2025-07-30 03:45:00+00:00,PT15M
46,14,2025-07-30 04:00:00+00:00,PT15M
73,14,2025-07-30 04:15:00+00:00,PT15M
103,14,2025-07-30 04:30:00+00:00,PT15M
136,15,2025-07-30 04:45:00+00:00,PT15M
170,15,2025-07-30 05:00:00+00:00,PT15M
207,15,2025-07-30 05:15:00+00:00,PT15M
245,15,2025-07-30 05:30:00+00:00,PT15M
285,16,2025-07-30 05:45:00+00:00,PT15M
325,16,2025-07-30 06:00:00+00:00,PT15M
364,16,2025-07-30 06:15:00+00:00,PT15M
400,17,2025-07-30 06:30:00+00:00,PT15M
435,17,2025-07-30 06:45:00+00:00,PT15M
468,18,2025-07-30 07:00:00+00:00,PT15M
502,18,2025-07-30 07:15:00+00:00,PT15M
534,19,2025-07-30 07:30:00+00:00,PT15M
564,19,2025-07-30 07:45:00+00:00,PT15M
593,20,2025-07-30 08:00:00+00:00,PT15M
619,20,2025-07-30 08:15:00+00:00,PT15M
642,21,2025-07-30 08:30:00+00:00,PT15M
663,21,2025-07-30 08:45:00+00:00,PT15M
682,21,2025-07-30 09:00:00+00:00,PT15M
692,21,2025-07-30 09:15:00+00:00,PT15M
693,22,2025-07-30 09:30:00+00:00,PT15M
692,22,2025-07-30 09:45:00+00:00,PT15M
687,22,2025-07-30 10:00:00+00:00,PT15M
682,22,2025-07-30 10:15:00+00:00,PT15M
676,23,2025-07-30 10:30:00+00:00,PT15M
667,23,2025-07-30 10:45:00+00:00,PT15M
657,23,2025-07-30 11:00:00+00:00,PT15M
650,23,2025-07-30 11:15:00+00:00,PT15M
647,23,2025-07-30 11:30:00+00:00,PT15M
642,23,2025-07-30 11:45:00+00:00,PT15M
635,23,2025-07-30 12:00:00+00:00,PT15M
613,22,2025-07-30 12:15:00+00:00,PT15M
577,22,2025-07-30 12:30:00+00:00,PT15M
540,22,2025-07-30 12:45:00+00:00,PT15M
503,21,2025-07-30 13:00:00+00:00,PT15M
490,21,2025-07-30 13:15:00+00:00,PT15M
500,21,2025-07-30 13:30:00+00:00,PT15M
506,20,2025-07-30 13:45:00+00:00,PT15M
510,20,2025-07-30 14:00:00+00:00,PT15M
496,20,2025-07-30 14:15:00+00:00,PT15M
466,20,2025-07-30 14:30:00+00:00,PT15M
436,19,2025-07-30 14:45:00+00:00,PT15M
404,19,2025-07-30 15:00:00+00:00,PT15M
368,19,2025-07-30 15:15:00+00:00,PT15M
330,18,2025-07-30 15:30:00+00:00,PT15M
293,17,2025-07-30 15:45:00+00:00,PT15M
257,17,2025-07-30 16:00:00+00:00,PT15M
226,16,2025-07-30 16:15:00+00:00,PT15M
202,16,2025-07-30 16:30:00+00:00,PT15M
177,16,2025-07-30 16:45:00+00:00,PT15M
152,16,2025-07-30 17:00:00+00:00,PT15M
123,16,2025-07-30 17:15:00+00:00,PT15M
95,16,2025-07-30 17:30:00+00:00,PT15M
69,16,2025-07-30 17:45:00+00:00,PT15M
46,16,2025-07-30 18:00:00+00:00,PT15M
27,16,2025-07-30 18:15:00+00:00,PT15M
12,16,2025-07-30 18:30:00+00:00,PT15M
2,16,2025-07-30 18:45:00+00:00,PT15M
0,16,2025-07-30 19:00:00+00:00,PT15M
0,16,2025-07-30 19:15:00+00:00,PT15M
0,16,2025-07-30 19:30:00+00:00,PT15M
0,16,2025-07-30 19:45:00+00:00,PT15M
0,15,2025-07-30 20:00:00+00:00,PT15M
0,15,2025-07-30 20:15:00+00:00,PT15M
0,15,2025-07-30 20:30:00+00:00,PT15M
0,15,2025-07-30 20:45:00+00:00,PT15M
0,15,2025-07-30 21:00:00+00:00,PT15M
0,15,2025-07-30 21:15:00+00:00,PT15M
0,15,2025-07-30 21:30:00+00:00,PT15M
0,15,2025-07-30 21:45:00+00:00,PT15M
0,15,2025-07-30 22:00:00+00:00,PT15M
0,15,2025-07-30 22:15:00+00:00,PT15M
0,15,2025-07-30 22:30:00+00:00,PT15M
0,14,2025-07-30 22:45:00+00:00,PT15M
0,14,2025-07-30 23:00:00+00:00,PT15M
0,14,2025-07-30 23:15:00+00:00,PT15M
0,14,2025-07-30 23:30:00+00:00,PT15M
0,14,2025-07-30 23:45:00+00:00,PT15M
0,14,2025-07-31 00:00:00+00:00,PT15M
0,13,2025-07-31 00:15:00+00:00,PT15M
