ghi,air_temp,period_end,period
0,17,2025-07-26 02:15:00+00:00,PT15M
0,17,2025-07-26 02:30:00+00:00,PT15M
0,17,2025-07-26 02:45:00+00:00,PT15M
0,17,2025-07-26 03:00:00+00:00,PT15M
0,16,2025-07-26 03:15:00+00:00,PT15M
7,16,2025-07-26 03:30:00+00:00,PT15M
22,17,2025-07-26 03:45:00+00:00,PT15M
39,17,2025-07-26 04:00:00+00:00,PT15M
61,17,2025-07-26 04:15:00+00:00,PT15M
86,17,2025-07-26 04:30:00+00:00,PT15M
112,17,2025-07-26 04:45:00+00:00,PT15M
139,18,2025-07-26 05:00:00+00:00,PT15M
165,18,2025-07-26 05:15:00+00:00,PT15M
187,18,2025-07-26 05:30:00+00:00,PT15M
209,19,2025-07-26 05:45:00+00:00,PT15M
229,19,2025-07-26 06:00:00+00:00,PT15M
251,19,2025-07-26 06:15:00+00:00,PT15M
273,20,2025-07-26 06:30:00+00:00,PT15M
293,20,2025-07-26 06:45:00+00:00,PT15M
313,20,2025-07-26 07:00:00+00:00,PT15M
334,21,2025-07-26 07:15:00+00:00,PT15M
357,21,2025-07-26 07:30:00+00:00,PT15M
378,22,2025-07-26 07:45:00+00:00,PT15M
399,22,2025-07-26 08:00:00+00:00,PT15M
422,22,2025-07-26 08:15:00+00:00,PT15M
450,23,2025-07-26 08:30:00+00:00,PT15M
477,23,2025-07-26 08:45:00+00:00,PT15M
503,23,2025-07-26 09:00:00+00:00,PT15M
524,23,2025-07-26 09:15:00+00:00,PT15M
538,24,2025-07-26 09:30:00+00:00,PT15M
550,24,2025-07-26 09:45:00+00:00,PT15M
560,24,2025-07-26 10:00:00+00:00,PT15M
571,24,2025-07-26 10:15:00+00:00,PT15M
582,24,2025-07-26 10:30:00+00:00,PT15M
592,24,2025-07-26 10:45:00+00:00,PT15M
599,24,2025-07-26 11:00:00+00:00,PT15M
597,24,2025-07-26 11:15:00+00:00,PT15M
584,25,2025-07-26 11:30:00+00:00,PT15M
569,25,2025-07-26 11:45:00+00:00,PT15M
552,25,2025-07-26 12:00:00+00:00,PT15M
533,25,2025-07-26 12:15:00+00:00,PT15M
512,25,2025-07-26 12:30:00+00:00,PT15M
488,25,2025-07-26 12:45:00+00:00,PT15M
464,25,2025-07-26 13:00:00+00:00,PT15M
442,25,2025-07-26 13:15:00+00:00,PT15M
423,25,2025-07-26 13:30:00+00:00,PT15M
402,24,2025-07-26 13:45:00+00:00,PT15M
381,24,2025-07-26 14:00:00+00:00,PT15M
358,24,2025-07-26 14:15:00+00:00,PT15M
332,24,2025-07-26 14:30:00+00:00,PT15M
306,24,2025-07-26 14:45:00+00:00,PT15M
279,24,2025-07-26 15:00:00+00:00,PT15M
254,23,2025-07-26 15:15:00+00:00,PT15M
233,23,2025-07-26 15:30:00+00:00,PT15M
211,23,2025-07-26 15:45:00+00:00,PT15M
189,23,2025-07-26 16:00:00+00:00,PT15M
170,23,2025-07-26 16:15:00+00:00,PT15M
154,22,2025-07-26 16:30:00+00:00,PT15M
137,22,2025-07-26 16:45:00+00:00,PT15M
119,22,2025-07-26 17:00:00+00:00,PT15M
99,22,2025-07-26 17:15:00+00:00,PT15M
78,21,2025-07-26 17:30:00+00:00,PT15M
59,21,2025-07-26 17:45:00+00:00,PT15M
42,21,2025-07-26 18:00:00+00:00,PT15M
27,20,2025-07-26 18:15:00+00:00,PT15M
14,20,2025-07-26 18:30:00+00:00,PT15M
4,20,2025-07-26 18:45:00+00:00,PT15M
0,20,2025-07-26 19:00:00+00:00,PT15M
0,19,2025-07-26 19:15:00+00:00,PT15M
0,19,2025-07-26 19:30:00+00:00,PT15M
0,19,2025-07-26 19:45:00+00:00,PT15M
0,19,2025-07-26 20:00:00+00:00,PT15M
0,19,2025-07-26 20:15:00+00:00,PT15M
0,19,2025-07-26 20:30:00+00:00,PT15M
0,18,2025-07-26 20:45:00+00:00,PT15M
0,18,2025-07-26 21:00:00+00:00,PT15M
0,18,2025-07-26 21:15:00+00:00,PT15M
0,18,2025-07-26 21:30:00+00:00,PT15M
0,18,2025-07-26 21:45:00+00:00,PT15M
0,18,2025-07-26 22:00:00+00:00,PT15M
0,18,2025-07-26 22:15:00+00:00,PT15M
0,18,2025-07-26 22:30:00+00:00,PT15M
0,18,2025-07-26 22:45:00+00:00,PT15M
0,18,2025-07-26 23:00:00+00:00,PT15M
0,18,2025-07-26 23:15:00+00:00,PT15M
0,18,2025-07-26 23:30:00+00:00,PT15M
0,18,2025-07-26 23:45:00+00:00,PT15M
0,18,2025-07-27 00:00:00+00:00,PT15M
0,18,2025-07-27 00:15:00+00:00,PT15M
