ghi,air_temp,period_end,period
555,25,2025-07-26 12:00:00+00:00,PT15M
539,25,2025-07-26 12:15:00+00:00,PT15M
500,25,2025-07-26 12:30:00+00:00,PT15M
440,24,2025-07-26 12:45:00+00:00,PT15M
388,24,2025-07-26 13:00:00+00:00,PT15M
362,24,2025-07-26 13:15:00+00:00,PT15M
382,24,2025-07-26 13:30:00+00:00,PT15M
377,24,2025-07-26 13:45:00+00:00,PT15M
375,24,2025-07-26 14:00:00+00:00,PT15M
355,24,2025-07-26 14:15:00+00:00,PT15M
324,24,2025-07-26 14:30:00+00:00,PT15M
303,24,2025-07-26 14:45:00+00:00,PT15M
274,24,2025-07-26 15:00:00+00:00,PT15M
246,24,2025-07-26 15:15:00+00:00,PT15M
223,24,2025-07-26 15:30:00+00:00,PT15M
201,23,2025-07-26 15:45:00+00:00,PT15M
180,23,2025-07-26 16:00:00+00:00,PT15M
158,23,2025-07-26 16:15:00+00:00,PT15M
137,22,2025-07-26 16:30:00+00:00,PT15M
116,22,2025-07-26 16:45:00+00:00,PT15M
96,22,2025-07-26 17:00:00+00:00,PT15M
78,22,2025-07-26 17:15:00+00:00,PT15M
61,21,2025-07-26 17:30:00+00:00,PT15M
46,21,2025-07-26 17:45:00+00:00,PT15M
33,21,2025-07-26 18:00:00+00:00,PT15M
21,20,2025-07-26 18:15:00+00:00,PT15M
11,20,2025-07-26 18:30:00+00:00,PT15M
3,20,2025-07-26 18:45:00+00:00,PT15M
0,20,2025-07-26 19:00:00+00:00,PT15M
0,20,2025-07-26 19:15:00+00:00,PT15M
0,20,2025-07-26 19:30:00+00:00,PT15M
0,19,2025-07-26 19:45:00+00:00,PT15M
0,19,2025-07-26 20:00:00+00:00,PT15M
0,19,2025-07-26 20:15:00+00:00,PT15M
0,19,2025-07-26 20:30:00+00:00,PT15M
0,19,2025-07-26 20:45:00+00:00,PT15M
0,19,2025-07-26 21:00:00+00:00,PT15M
0,19,2025-07-26 21:15:00+00:00,PT15M
