ghi,air_temp,period_end,period
404,24,2025-07-26 13:30:00+00:00,PT15M
383,24,2025-07-26 13:45:00+00:00,PT15M
361,24,2025-07-26 14:00:00+00:00,PT15M
325,24,2025-07-26 14:15:00+00:00,PT15M
294,24,2025-07-26 14:30:00+00:00,PT15M
270,24,2025-07-26 14:45:00+00:00,PT15M
275,24,2025-07-26 15:00:00+00:00,PT15M
262,24,2025-07-26 15:15:00+00:00,PT15M
232,24,2025-07-26 15:30:00+00:00,PT15M
215,23,2025-07-26 15:45:00+00:00,PT15M
197,23,2025-07-26 16:00:00+00:00,PT15M
170,23,2025-07-26 16:15:00+00:00,PT15M
143,22,2025-07-26 16:30:00+00:00,PT15M
119,22,2025-07-26 16:45:00+00:00,PT15M
98,22,2025-07-26 17:00:00+00:00,PT15M
79,22,2025-07-26 17:15:00+00:00,PT15M
61,21,2025-07-26 17:30:00+00:00,PT15M
45,21,2025-07-26 17:45:00+00:00,PT15M
32,21,2025-07-26 18:00:00+00:00,PT15M
20,20,2025-07-26 18:15:00+00:00,PT15M
10,20,2025-07-26 18:30:00+00:00,PT15M
3,20,2025-07-26 18:45:00+00:00,PT15M
0,20,2025-07-26 19:00:00+00:00,PT15M
0,20,2025-07-26 19:15:00+00:00,PT15M
0,20,2025-07-26 19:30:00+00:00,PT15M
0,19,2025-07-26 19:45:00+00:00,PT15M
0,19,2025-07-26 20:00:00+00:00,PT15M
0,19,2025-07-26 20:15:00+00:00,PT15M
0,19,2025-07-26 20:30:00+00:00,PT15M
0,19,2025-07-26 20:45:00+00:00,PT15M
0,19,2025-07-26 21:00:00+00:00,PT15M
0,19,2025-07-26 21:15:00+00:00,PT15M
0,18,2025-07-26 21:30:00+00:00,PT15M
0,18,2025-07-26 21:45:00+00:00,PT15M
0,18,2025-07-26 22:00:00+00:00,PT15M
0,18,2025-07-26 22:15:00+00:00,PT15M
0,18,2025-07-26 22:30:00+00:00,PT15M
0,18,2025-07-26 22:45:00+00:00,PT15M
0,18,2025-07-26 23:00:00+00:00,PT15M
0,18,2025-07-26 23:15:00+00:00,PT15M
0,18,2025-07-26 23:30:00+00:00,PT15M
0,18,2025-07-26 23:45:00+00:00,PT15M
0,18,2025-07-27 00:00:00+00:00,PT15M
0,18,2025-07-27 00:15:00+00:00,PT15M
0,18,2025-07-27 00:30:00+00:00,PT15M
0,18,2025-07-27 00:45:00+00:00,PT15M
0,17,2025-07-27 01:00:00+00:00,PT15M
0,17,2025-07-27 01:15:00+00:00,PT15M
0,17,2025-07-27 01:30:00+00:00,PT15M
0,17,2025-07-27 01:45:00+00:00,PT15M
0,17,2025-07-27 02:00:00+00:00,PT15M
0,17,2025-07-27 02:15:00+00:00,PT15M
0,17,2025-07-27 02:30:00+00:00,PT15M
0,17,2025-07-27 02:45:00+00:00,PT15M
0,17,2025-07-27 03:00:00+00:00,PT15M
0,17,2025-07-27 03:15:00+00:00,PT15M
3,17,2025-07-27 03:30:00+00:00,PT15M
9,17,2025-07-27 03:45:00+00:00,PT15M
16,17,2025-07-27 04:00:00+00:00,PT15M
24,17,2025-07-27 04:15:00+00:00,PT15M
35,17,2025-07-27 04:30:00+00:00,PT15M
48,17,2025-07-27 04:45:00+00:00,PT15M
63,16,2025-07-27 05:00:00+00:00,PT15M
79,16,2025-07-27 05:15:00+00:00,PT15M
95,16,2025-07-27 05:30:00+00:00,PT15M
112,16,2025-07-27 05:45:00+00:00,PT15M
130,16,2025-07-27 06:00:00+00:00,PT15M
147,16,2025-07-27 06:15:00+00:00,PT15M
161,16,2025-07-27 06:30:00+00:00,PT15M
174,16,2025-07-27 06:45:00+00:00,PT15M
187,16,2025-07-27 07:00:00+00:00,PT15M
198,16,2025-07-27 07:15:00+00:00,PT15M
207,16,2025-07-27 07:30:00+00:00,PT15M
213,16,2025-07-27 07:45:00+00:00,PT15M
218,17,2025-07-27 08:00:00+00:00,PT15M
225,17,2025-07-27 08:15:00+00:00,PT15M
233,17,2025-07-27 08:30:00+00:00,PT15M
240,17,2025-07-27 08:45:00+00:00,PT15M
246,17,2025-07-27 09:00:00+00:00,PT15M
256,17,2025-07-27 09:15:00+00:00,PT15M
269,17,2025-07-27 09:30:00+00:00,PT15M
282,17,2025-07-27 09:45:00+00:00,PT15M
293,17,2025-07-27 10:00:00+00:00,PT15M
302,17,2025-07-27 10:15:00+00:00,PT15M
306,17,2025-07-27 10:30:00+00:00,PT15M
310,18,2025-07-27 10:45:00+00:00,PT15M
313,18,2025-07-27 11:00:00+00:00,PT15M
313,18,2025-07-27 11:15:00+00:00,PT15M
310,18,2025-07-27 11:30:00+00:00,PT15M
306,18,2025-07-27 11:45:00+00:00,PT15M
301,18,2025-07-27 12:00:00+00:00,PT15M
294,18,2025-07-27 12:15:00+00:00,PT15M
285,19,2025-07-27 12:30:00+00:00,PT15M
275,19,2025-07-27 12:45:00+00:00,PT15M
264,19,2025-07-27 13:00:00+00:00,PT15M
256,19,2025-07-27 13:15:00+00:00,PT15M
250,20,2025-07-27 13:30:00+00:00,PT15M
242,20,2025-07-27 13:45:00+00:00,PT15M
235,20,2025-07-27 14:00:00+00:00,PT15M
228,20,2025-07-27 14:15:00+00:00,PT15M
223,21,2025-07-27 14:30:00+00:00,PT15M
215,21,2025-07-27 14:45:00+00:00,PT15M
206,21,2025-07-27 15:00:00+00:00,PT15M
193,21,2025-07-27 15:15:00+00:00,PT15M
178,21,2025-07-27 15:30:00+00:00,PT15M
162,21,2025-07-27 15:45:00+00:00,PT15M
