ghi,dni,air_temp,period_end,period
0,0,13,2025-05-28 20:15:00+00:00,PT15M
0,0,12,2025-05-28 20:30:00+00:00,PT15M
0,0,12,2025-05-28 20:45:00+00:00,PT15M
0,0,12,2025-05-28 21:00:00+00:00,PT15M
0,0,12,2025-05-28 21:15:00+00:00,PT15M
0,0,12,2025-05-28 21:30:00+00:00,PT15M
0,0,13,2025-05-28 21:45:00+00:00,PT15M
0,0,13,2025-05-28 22:00:00+00:00,PT15M
0,0,13,2025-05-28 22:15:00+00:00,PT15M
0,0,13,2025-05-28 22:30:00+00:00,PT15M
0,0,13,2025-05-28 22:45:00+00:00,PT15M
0,0,13,2025-05-28 23:00:00+00:00,PT15M
0,0,13,2025-05-28 23:15:00+00:00,PT15M
0,0,12,2025-05-28 23:30:00+00:00,PT15M
0,0,12,2025-05-28 23:45:00+00:00,PT15M
0,0,12,2025-05-29 00:00:00+00:00,PT15M
0,0,11,2025-05-29 00:15:00+00:00,PT15M
0,0,12,2025-05-29 00:30:00+00:00,PT15M
0,0,12,2025-05-29 00:45:00+00:00,PT15M
0,0,12,2025-05-29 01:00:00+00:00,PT15M
0,0,12,2025-05-29 01:15:00+00:00,PT15M
0,0,12,2025-05-29 01:30:00+00:00,PT15M
0,0,12,2025-05-29 01:45:00+00:00,PT15M
0,0,12,2025-05-29 02:00:00+00:00,PT15M
0,0,12,2025-05-29 02:15:00+00:00,PT15M
0,0,12,2025-05-29 02:30:00+00:00,PT15M
0,0,11,2025-05-29 02:45:00+00:00,PT15M
1,0,11,2025-05-29 03:00:00+00:00,PT15M
8,0,11,2025-05-29 03:15:00+00:00,PT15M
21,0,11,2025-05-29 03:30:00+00:00,PT15M
31,0,11,2025-05-29 03:45:00+00:00,PT15M
33,0,11,2025-05-29 04:00:00+00:00,PT15M
41,0,11,2025-05-29 04:15:00+00:00,PT15M
52,0,11,2025-05-29 04:30:00+00:00,PT15M
64,0,11,2025-05-29 04:45:00+00:00,PT15M
75,0,11,2025-05-29 05:00:00+00:00,PT15M
83,0,11,2025-05-29 05:15:00+00:00,PT15M
108,0,12,2025-05-29 05:30:00+00:00,PT15M
128,0,12,2025-05-29 05:45:00+00:00,PT15M
170,0,12,2025-05-29 06:00:00+00:00,PT15M
237,0,12,2025-05-29 06:15:00+00:00,PT15M
238,0,12,2025-05-29 06:30:00+00:00,PT15M
265,0,13,2025-05-29 06:45:00+00:00,PT15M
353,47,13,2025-05-29 07:00:00+00:00,PT15M
370,38,14,2025-05-29 07:15:00+00:00,PT15M
409,88,14,2025-05-29 07:30:00+00:00,PT15M
460,163,14,2025-05-29 07:45:00+00:00,PT15M
530,295,14,2025-05-29 08:00:00+00:00,PT15M
494,151,15,2025-05-29 08:15:00+00:00,PT15M
591,364,15,2025-05-29 08:30:00+00:00,PT15M
544,196,15,2025-05-29 08:45:00+00:00,PT15M
630,375,16,2025-05-29 09:00:00+00:00,PT15M
821,889,16,2025-05-29 09:15:00+00:00,PT15M
844,910,16,2025-05-29 09:30:00+00:00,PT15M
596,201,16,2025-05-29 09:45:00+00:00,PT15M
598,224,16,2025-05-29 10:00:00+00:00,PT15M
304,0,16,2025-05-29 10:15:00+00:00,PT15M
282,0,16,2025-05-29 10:30:00+00:00,PT15M
426,2,16,2025-05-29 10:45:00+00:00,PT15M
617,196,16,2025-05-29 11:00:00+00:00,PT15M
525,47,16,2025-05-29 11:15:00+00:00,PT15M
683,336,16,2025-05-29 11:30:00+00:00,PT15M
655,288,16,2025-05-29 11:45:00+00:00,PT15M
368,0,16,2025-05-29 12:00:00+00:00,PT15M
694,412,16,2025-05-29 12:15:00+00:00,PT15M
415,0,16,2025-05-29 12:30:00+00:00,PT15M
648,368,16,2025-05-29 12:45:00+00:00,PT15M
390,13,16,2025-05-29 13:00:00+00:00,PT15M
509,144,16,2025-05-29 13:15:00+00:00,PT15M
420,88,16,2025-05-29 13:30:00+00:00,PT15M
314,20,17,2025-05-29 13:45:00+00:00,PT15M
649,680,17,2025-05-29 14:00:00+00:00,PT15M
648,779,17,2025-05-29 14:15:00+00:00,PT15M
584,648,17,2025-05-29 14:30:00+00:00,PT15M
394,110,17,2025-05-29 14:45:00+00:00,PT15M
406,227,17,2025-05-29 15:00:00+00:00,PT15M
496,686,17,2025-05-29 15:15:00+00:00,PT15M
452,639,17,2025-05-29 15:30:00+00:00,PT15M
349,305,17,2025-05-29 15:45:00+00:00,PT15M
337,401,16,2025-05-29 16:00:00+00:00,PT15M
273,227,16,2025-05-29 16:15:00+00:00,PT15M
262,361,16,2025-05-29 16:30:00+00:00,PT15M
247,461,16,2025-05-29 16:45:00+00:00,PT15M
206,401,16,2025-05-29 17:00:00+00:00,PT15M
169,359,15,2025-05-29 17:15:00+00:00,PT15M
133,293,15,2025-05-29 17:30:00+00:00,PT15M
72,11,14,2025-05-29 17:45:00+00:00,PT15M
65,142,14,2025-05-29 18:00:00+00:00,PT15M
41,62,13,2025-05-29 18:15:00+00:00,PT15M
18,0,13,2025-05-29 18:30:00+00:00,PT15M
4,0,13,2025-05-29 18:45:00+00:00,PT15M
0,0,12,2025-05-29 19:00:00+00:00,PT15M
0,0,12,2025-05-29 19:15:00+00:00,PT15M
0,0,13,2025-05-29 19:30:00+00:00,PT15M
0,0,13,2025-05-29 19:45:00+00:00,PT15M
0,0,13,2025-05-29 20:00:00+00:00,PT15M
0,0,13,2025-05-29 20:15:00+00:00,PT15M
0,0,13,2025-05-29 20:30:00+00:00,PT15M
0,0,12,2025-05-29 20:45:00+00:00,PT15M
0,0,12,2025-05-29 21:00:00+00:00,PT15M
0,0,12,2025-05-29 21:15:00+00:00,PT15M
0,0,12,2025-05-29 21:30:00+00:00,PT15M
0,0,12,2025-05-29 21:45:00+00:00,PT15M
0,0,11,2025-05-29 22:00:00+00:00,PT15M
0,0,11,2025-05-29 22:15:00+00:00,PT15M
0,0,11,2025-05-29 22:30:00+00:00,PT15M
0,0,11,2025-05-29 22:45:00+00:00,PT15M
0,0,11,2025-05-29 23:00:00+00:00,PT15M
0,0,11,2025-05-29 23:15:00+00:00,PT15M
0,0,11,2025-05-29 23:30:00+00:00,PT15M
0,0,11,2025-05-29 23:45:00+00:00,PT15M
0,0,10,2025-05-30 00:00:00+00:00,PT15M
0,0,10,2025-05-30 00:15:00+00:00,PT15M
0,0,11,2025-05-30 00:30:00+00:00,PT15M
0,0,11,2025-05-30 00:45:00+00:00,PT15M
0,0,11,2025-05-30 01:00:00+00:00,PT15M
0,0,11,2025-05-30 01:15:00+00:00,PT15M
0,0,11,2025-05-30 01:30:00+00:00,PT15M
0,0,11,2025-05-30 01:45:00+00:00,PT15M
0,0,11,2025-05-30 02:00:00+00:00,PT15M
0,0,11,2025-05-30 02:15:00+00:00,PT15M
0,0,12,2025-05-30 02:30:00+00:00,PT15M
0,0,12,2025-05-30 02:45:00+00:00,PT15M
0,0,12,2025-05-30 03:00:00+00:00,PT15M
5,0,12,2025-05-30 03:15:00+00:00,PT15M
22,0,12,2025-05-30 03:30:00+00:00,PT15M
28,0,12,2025-05-30 03:45:00+00:00,PT15M
36,0,12,2025-05-30 04:00:00+00:00,PT15M
55,0,12,2025-05-30 04:15:00+00:00,PT15M
50,0,12,2025-05-30 04:30:00+00:00,PT15M
63,0,12,2025-05-30 04:45:00+00:00,PT15M
77,0,12,2025-05-30 05:00:00+00:00,PT15M
96,0,12,2025-05-30 05:15:00+00:00,PT15M
98,0,12,2025-05-30 05:30:00+00:00,PT15M
84,0,12,2025-05-30 05:45:00+00:00,PT15M
81,0,11,2025-05-30 06:00:00+00:00,PT15M
142,0,11,2025-05-30 06:15:00+00:00,PT15M
137,0,11,2025-05-30 06:30:00+00:00,PT15M
173,0,12,2025-05-30 06:45:00+00:00,PT15M
156,0,12,2025-05-30 07:00:00+00:00,PT15M
125,0,12,2025-05-30 07:15:00+00:00,PT15M
149,0,12,2025-05-30 07:30:00+00:00,PT15M
162,0,12,2025-05-30 07:45:00+00:00,PT15M
129,0,12,2025-05-30 08:00:00+00:00,PT15M
195,0,12,2025-05-30 08:15:00+00:00,PT15M
212,0,12,2025-05-30 08:30:00+00:00,PT15M
218,0,12,2025-05-30 08:45:00+00:00,PT15M
256,0,12,2025-05-30 09:00:00+00:00,PT15M
