ghi,air_temp,period_end,period,hour_decimal,sin_hour,cos_hour,energia_15min_pred [kWh]
854,32,2025-07-02 12:30:00+00:00,PT15M,12.5,-0.13052619222005177,-0.9914448613738104,1.244479
836,32,2025-07-02 12:45:00+00:00,PT15M,12.75,-0.19509032201612792,-0.9807852804032305,1.2185957
816,32,2025-07-02 13:00:00+00:00,PT15M,13.0,-0.2588190451025208,-0.9659258262890683,1.1797814
793,32,2025-07-02 13:15:00+00:00,PT15M,13.25,-0.32143946530316153,-0.9469301294951057,1.131178
768,32,2025-07-02 13:30:00+00:00,PT15M,13.5,-0.38268343236508967,-0.9238795325112868,1.0774915
741,32,2025-07-02 13:45:00+00:00,PT15M,13.75,-0.44228869021900147,-0.8968727415326883,1.0181648
712,32,2025-07-02 14:00:00+00:00,PT15M,14.0,-0.4999999999999997,-0.8660254037844388,0.954498
681,32,2025-07-02 14:15:00+00:00,PT15M,14.25,-0.555570233019602,-0.8314696123025455,0.8901005
648,32,2025-07-02 14:30:00+00:00,PT15M,14.5,-0.6087614290087207,-0.7933533402912352,0.82837236
614,32,2025-07-02 14:45:00+00:00,PT15M,14.75,-0.6593458151000688,-0.7518398074789774,0.76362973
578,32,2025-07-02 15:00:00+00:00,PT15M,15.0,-0.7071067811865471,-0.7071067811865479,0.6934947
541,32,2025-07-02 15:15:00+00:00,PT15M,15.25,-0.7518398074789773,-0.6593458151000691,0.620606
503,32,2025-07-02 15:30:00+00:00,PT15M,15.5,-0.7933533402912349,-0.6087614290087209,0.5576268
465,32,2025-07-02 15:45:00+00:00,PT15M,15.75,-0.8314696123025452,-0.5555702330196022,0.5116594
425,32,2025-07-02 16:00:00+00:00,PT15M,16.0,-0.8660254037844385,-0.5000000000000004,0.4827594
386,32,2025-07-02 16:15:00+00:00,PT15M,16.25,-0.8968727415326883,-0.44228869021900136,0.45493793
346,32,2025-07-02 16:30:00+00:00,PT15M,16.5,-0.9238795325112868,-0.3826834323650895,0.43094146
306,31,2025-07-02 16:45:00+00:00,PT15M,16.75,-0.9469301294951056,-0.3214394653031618,0.38107556
267,31,2025-07-02 17:00:00+00:00,PT15M,17.0,-0.9659258262890683,-0.25881904510252063,0.3616851
229,30,2025-07-02 17:15:00+00:00,PT15M,17.25,-0.9807852804032303,-0.19509032201612866,0.30808395
191,29,2025-07-02 17:30:00+00:00,PT15M,17.5,-0.9914448613738104,-0.13052619222005163,0.27421838
