ghi,air_temp,period_end,period
539,21,2025-07-23 08:00:00+00:00,PT15M
455,22,2025-07-23 08:15:00+00:00,PT15M
621,22,2025-07-23 08:30:00+00:00,PT15M
714,22,2025-07-23 08:45:00+00:00,PT15M
684,23,2025-07-23 09:00:00+00:00,PT15M
634,23,2025-07-23 09:15:00+00:00,PT15M
604,23,2025-07-23 09:30:00+00:00,PT15M
548,24,2025-07-23 09:45:00+00:00,PT15M
508,24,2025-07-23 10:00:00+00:00,PT15M
523,24,2025-07-23 10:15:00+00:00,PT15M
528,24,2025-07-23 10:30:00+00:00,PT15M
534,24,2025-07-23 10:45:00+00:00,PT15M
545,24,2025-07-23 11:00:00+00:00,PT15M
559,24,2025-07-23 11:15:00+00:00,PT15M
579,24,2025-07-23 11:30:00+00:00,PT15M
612,23,2025-07-23 11:45:00+00:00,PT15M
628,23,2025-07-23 12:00:00+00:00,PT15M
626,23,2025-07-23 12:15:00+00:00,PT15M
618,23,2025-07-23 12:30:00+00:00,PT15M
606,24,2025-07-23 12:45:00+00:00,PT15M
593,24,2025-07-23 13:00:00+00:00,PT15M
574,24,2025-07-23 13:15:00+00:00,PT15M
550,24,2025-07-23 13:30:00+00:00,PT15M
525,23,2025-07-23 13:45:00+00:00,PT15M
498,23,2025-07-23 14:00:00+00:00,PT15M
468,23,2025-07-23 14:15:00+00:00,PT15M
434,23,2025-07-23 14:30:00+00:00,PT15M
400,23,2025-07-23 14:45:00+00:00,PT15M
366,23,2025-07-23 15:00:00+00:00,PT15M
338,23,2025-07-23 15:15:00+00:00,PT15M
317,23,2025-07-23 15:30:00+00:00,PT15M
294,23,2025-07-23 15:45:00+00:00,PT15M
270,23,2025-07-23 16:00:00+00:00,PT15M
248,23,2025-07-23 16:15:00+00:00,PT15M
228,23,2025-07-23 16:30:00+00:00,PT15M
207,23,2025-07-23 16:45:00+00:00,PT15M
185,23,2025-07-23 17:00:00+00:00,PT15M
157,22,2025-07-23 17:15:00+00:00,PT15M
125,22,2025-07-23 17:30:00+00:00,PT15M
95,22,2025-07-23 17:45:00+00:00,PT15M
68,21,2025-07-23 18:00:00+00:00,PT15M
45,21,2025-07-23 18:15:00+00:00,PT15M
25,20,2025-07-23 18:30:00+00:00,PT15M
9,20,2025-07-23 18:45:00+00:00,PT15M
0,20,2025-07-23 19:00:00+00:00,PT15M
0,19,2025-07-23 19:15:00+00:00,PT15M
0,19,2025-07-23 19:30:00+00:00,PT15M
0,19,2025-07-23 19:45:00+00:00,PT15M
0,19,2025-07-23 20:00:00+00:00,PT15M
0,18,2025-07-23 20:15:00+00:00,PT15M
0,18,2025-07-23 20:30:00+00:00,PT15M
0,18,2025-07-23 20:45:00+00:00,PT15M
0,18,2025-07-23 21:00:00+00:00,PT15M
0,18,2025-07-23 21:15:00+00:00,PT15M
